Taxon_FA,Genera,PhAname,Endemicity,non.endemic,SEN,Taxon,Familie,SIN,FAN,FHN,ZWN,WSN,ZDSF,T,Tv,K,Kv,L,Lv,F,Fv,W,R,Rv,N,Nv,S,M,H,Hv,D,Dv,LF,BD,WT,RO,KS,DA,VA,FS,MA,BZ,BZ.S,BZ.D,BS,MV,SU,DG,GI,GV,LR,EG,AE,EM,VE,CH,JU,JU1,JU2,MP,MP1,MP2,NA.,NA1,NA2,WA,EA,SA,SA1,SA2,SA3,PS,PS1,PS1_txt,PS2,PS2_txt,PS3,PS3_txt,BL,SL,TB,
Cardamine_pratensis,Cardamine,Cardamine pratensis,0,1,1152,Cardamine pratensis,Brassicaceae,79800,54.22.12,657,1369,500,ZDSF,3.5,I,2,I,3,II,3.5,II,2,3,II,4,I,,,3,II,1,I,h,w,1,Rs,ccs,Au En,Sw,zw,,04-juin,4 5 6,3,,4,2,3,tg h e,D3,1.3 2.3 6.3 9.2,8,I,3,=,LC,LC,LC,LC,LC,LC,LC,LC,LC,LC,NT,LC,NT,NT,NT,-,11.241 11.231,11.241,Arrhenatherion elatioris,11.231,Molinion,,,,,,
Drosera_rotundifolia,Drosera,Drosera rotundifolia,0,1,2017,Drosera rotundifolia,Droseraceae,142300,47.1.1,517,1443,607,ZDSF,3,II,3,I,4,I,4,I,2,1,II,1,I,,m,5,I,1,I,h.ff,t,1,Rs,sss,Me,Sw,cl zw,d,07-ao_t,7 8,2,au my,-,2,1,mg h,B3a,4.1 5.1 5.2,5,I,2,,NT,VU,VU,-,VU,EN,VU,NT,NT,NT,EN,VU,NT,NT,VU,VU,12.111 7.211 7.212,12.111,Sphagnion medii,7.211,Rhynchosporion albae,7.212,Caricion lasiocarpae,,139,,
Gentiana_germanica,Gentiana,Gentiana germanica,0,1,2635,Gentiana germanica,Gentianaceae,183800,98.4.38,1533,2388,1309,ZDSF,3,II,2,I,4,I,2.5,I,3,4,I,2,I,,,3,I,1,I,k-t,w,1,-,crs,Bo En,Kv,zw,,08-oct,8 9 10,3,me,2,2,2,,E5,5.1 6.2 6.3 6.5,3,I,2,*,NT,NT,NT,VU,VU,EN,VU,NT,NT,NT,VU,DD,DD,DD,DD,DD,9.135,NA,,NA,,9.135,Mesobromion,,274,,
Potentilla_palustris,Potentilla,Potentilla palustris,0,1,4572,Potentilla palustris,Rosaceae,323800,63.13.2,938,1566,709,ZDSF,3,I,3,I,4,I,5,I,2,2,II,2,I,,,5,I,1,I,g,s,1,Rh,ccs,Hy En,As Kr,zw,p5,05-juil,5 6 7,3,me my,1,2,2,e,B3,1.3 5.1 5.2,5,I,2,,LC,LC,LC,VU,VU,VU,VU,NT,NT,NT,VU,NT,EN,EN,EN,-,7.212 6.112,7.212,Caricion lasiocarpae,6.112,Magnocaricion,,,,,,
Ranunculus_flammula,Ranunculus,Ranunculus flammula,0,1,4857,Ranunculus flammula,Ranunculaceae,338400,19.17.37,179,1178,411,ZDSF,3.5,I,2,I,4,II,4.5,I,3,3,II,2,I,,m,5,II,1,I,h,t,1,Rs,css,Dy En,Sw,zw,,05-sept,5 6 7 8 9,5,,3,2,4,tg,D3,1.3 5.1 6.3,5,I,2,*,NT,VU,VU,VU,NT,NT,NT,NT,NT,NT,RE,EN,VU,VU,-,-,11.233 6.112 7.23,11.233,Calthion palustris,6.112,Magnocaricion,7.23,Caricetalia davallianae,,,,
Rhinanthus_minor,Rhinanthus,Rhinanthus minor,0,1,4938,Rhinanthus minor,Scrophulariaceae,344800,114.28.1,1846,2699,1560,ZDSF,3,II,3,I,4,I,3.5,I,3,3,I,2,I,,,5,I,1,I,t.hp,s,1,-,rrs,Me,Kv,zw,p1,05-sept,5 6 7 8 9,5,au me le,2,2,2,tg,B6b,5.1 6.2 6.3 6.5,5,I/A,2,*,LC,LC,LC,VU,NT,VU,NT,LC,LC,LC,LC,LC,LC,LC,LC,LC,11.231 10.412,11.231,Molinion,10.412,Nardion strictae,,,,,A,
Holosteum_umbellatum,Holosteum,Holosteum umbellatum,0,1,2945,Holosteum umbellatum,Caryophyllaceae,207200,38.7.1.1,357,1033,264,ZDSF,4.5,I,4,I,4,I,1.5,I,3,2,II,3,I,,,3,I,1,I,t,w s,1,-,rrs,Bo Dy,Kv,zw,p2,03-mai,3 4 5,3,,-,3,1,e,C2,2.1 3.1 3.2 6.2,7,I/A,3,,LC,EN,EN,EN,EN,EN,EN,EN,RE,EN,LC,CR,EN,EN,-,-,9.141,NA,,NA,,9.141,Ononidion striatae,,,,
Spergularia_rubra,Spergularia,Spergularia rubra,0,1,5765,Spergularia rubra,Caryophyllaceae,404700,38.19.4,320,1078,299,ZDSF,3.5,II,3,I,4,I,1.5,II,3,2,I,2,I,s,,3,I,1,I,k-t,w,1,Wv,rrr,Bo En,Sr,zw,p1,05-sept,5 6 7 8 9,5,,-,3,2,,B4,2.1 2.2 2.5 2.6,7,A,3,,LC,EN,EN,EN,EN,EN,EN,EN,EN,EN,LC,VU,LC,LC,NT,NT,2.35,NA,,NA,,2.35,Polygono aviculari-Poetalia annuae,,,,
Agrostis_canina,Agrostis,Agrostis canina,0,1,124,Agrostis canina,Poaceae,8500,139.47.1,2758,195,2303,ZDSF,3.5,II,2,I,4,I,4,I,3,2,I,2,I,s,,5,II,1,II,h,t,1,-,crs,Me En,Ao Ho,zw,,06-ao_t,6 7 8,3,an,3,4,3,e,B3a,1.4 5.1 5.2 6.3,5,I,2,,NT,VU,VU,VU,NT,NT,NT,NT,NT,NT,-,VU,NT,NT,-,-,7.221,7.221,Caricion fuscae,NA,,,,,,,
Carex_remota,Carex,Carex remota,0,1,1324,Carex remota,Cyperaceae,93300,138.17.20,2533,485,2438,ZDSF,3.5,I,2,I,2,II,4,I,3,3,II,3,I,,m,3,I,1,I,h,t,1,Rs,css,Me,Ho Sr,zw,,05-juil,5 6 7,3,an,1,4,3,e,B6,2.6 4.2 9.1 9.2,1,I,3,=,LC,LC,LC,LC,LC,LC,LC,LC,NT,LC,CR,NT,LC,LC,LC,LC,14.72202 14.721 14.731,14.72202,Carici remotae-Fraxinetum,14.721,Alnion incanae,14.731,Fagion sylvaticae,,,,
